"model_id","predictors","n_predictors","WAIC","delta_WAIC"
10,"HFI + popnProx",2,441.05179734316,0
22,"HFI + popnProx + popnDown",3,443.164602779697,2.11280543653703
23,"HFI + popnProx + popnUp",3,443.296738031103,2.2449406879432
30,"HFI + popnProx + popnDown + popnUp",4,445.47872585698,4.42692851382014
11,"HFI + popnDown",2,452.463951389224,11.4121540460646
17,"temperature + HFI + popnDown",3,452.890767810958,11.8389704677984
24,"HFI + popnDown + popnUp",3,454.271456895982,13.2196595528221
2,"HFI",1,454.318808930932,13.2670115877725
28,"temperature + HFI + popnDown + popnUp",4,454.679878976781,13.628081633621
19,"temperature + popnProx + popnDown",3,455.693016252218,14.6412189090586
12,"HFI + popnUp",2,456.699973460252,15.6481761170924
16,"temperature + HFI + popnProx",3,457.498561781108,16.4467644379484
14,"popnProx + popnUp",2,460.204633113345,19.1528357701854
3,"popnProx",1,460.296281039692,19.2444836965323
26,"temperature + HFI + popnProx + popnDown",4,460.451361864576,19.3995645214168
27,"temperature + HFI + popnProx + popnUp",4,460.959334905616,19.9075375624563
13,"popnProx + popnDown",2,462.751603740771,21.6998063976119
25,"popnProx + popnDown + popnUp",3,462.979352867504,21.9275555243441
31,"temperature + HFI + popnProx + popnDown + popnUp",5,464.067855928583,23.0160585854238
15,"popnDown + popnUp",2,465.813857788438,24.762060445278
7,"temperature + popnProx",2,467.08652991675,26.0347325735907
6,"temperature + HFI",2,467.65287826317,26.6010809200104
5,"popnUp",1,468.52297355475,27.4711762115901
20,"temperature + popnProx + popnUp",3,469.234601028857,28.1828036856978
18,"temperature + HFI + popnUp",3,471.110189356265,30.0583920131056
29,"temperature + popnProx + popnDown + popnUp",4,472.742384331922,31.6905869887624
21,"temperature + popnDown + popnUp",3,474.598240409705,33.5464430665455
4,"popnDown",1,476.420485717007,35.3686883738473
9,"temperature + popnUp",2,476.679320648174,35.6275233050142
8,"temperature + popnDown",2,480.920403103725,39.8686057605651
1,"temperature",1,486.26874747428,45.2169501311205
